                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6974,                 3.6947,                 2.0056,                0.00194,                    0.6,                0.01047,                0.00221,                 2.6672,                 3.9337,                 3.6384,              6.668e-05,              6.668e-05,              6.668e-05
                      2,                 1.6742,                 3.8455,                 1.9896,                 0.0034,                      1,                0.12605,                0.07006,                 1.0373,                 3.2424,                 1.4683,             0.00014508,             0.00014508,             0.00014508
                      3,                 1.0523,                 2.9638,                 1.3618,                0.00335,                      1,                0.66028,                0.46584,                0.96547,                 2.6338,                 1.2681,             0.00021798,             0.00021798,             0.00021798
                      4,                 1.0734,                 2.4535,                 1.3668,                0.00333,                      1,                0.64681,                0.46514,                0.82907,                 2.5382,                 1.1633,             0.00028537,             0.00028537,             0.00028537
                      5,                0.97899,                 2.1485,                 1.2164,                0.00333,                      1,                0.62677,                0.46323,                0.92325,                 2.4657,                 1.3253,             0.00034727,             0.00034727,             0.00034727
                      6,                0.87928,                 2.0193,                 1.2062,                 0.0805,                      1,                0.65418,                0.48841,                0.89063,                 2.2493,                 1.2771,             0.00040366,             0.00040366,             0.00040366
                      7,                 0.9077,                 1.9889,                 1.1784,                0.00335,                      1,                0.64766,                0.48527,                0.85456,                 2.2435,                 1.1815,             0.00045456,             0.00045456,             0.00045456
                      8,                0.92032,                 1.8771,                 1.1669,                0.47533,                0.98124,                0.68717,                0.51088,                0.85896,                 2.1696,                  1.217,             0.00049995,             0.00049995,             0.00049995
                      9,                0.90899,                 1.7675,                 1.1739,                0.68569,                   0.85,                0.75041,                0.55124,                0.87916,                 1.9517,                 1.1804,             0.00053984,             0.00053984,             0.00053984
                     10,                0.81471,                 1.6273,                  1.084,                 0.8344,                    0.5,                0.77118,                0.61746,                0.77086,                 1.9959,                 1.1044,             0.00057423,             0.00057423,             0.00057423
                     11,                0.89801,                 1.5875,                 1.1649,                0.83196,                0.39546,                0.58871,                0.44778,                0.83815,                 2.0154,                 1.1196,             0.00060312,             0.00060312,             0.00060312
                     12,                0.86244,                 1.6204,                 1.1508,                0.76731,                0.54065,                0.74642,                0.57397,                0.76708,                 2.0638,                 1.1052,             0.00062651,             0.00062651,             0.00062651
                     13,                0.87088,                 1.4238,                 1.1313,                0.81098,                  0.602,                0.81435,                0.63731,                0.82057,                  1.979,                 1.1435,              0.0006444,              0.0006444,              0.0006444
                     14,                0.85056,                 1.5041,                 1.1386,                0.75389,                    0.8,                0.85208,                0.62078,                0.92933,                 1.9408,                 1.2183,             0.00065678,             0.00065678,             0.00065678
                     15,                0.85299,                 1.3294,                 1.0942,                0.77142,                    0.7,                0.79387,                 0.5446,                0.94198,                 1.7649,                 1.2889,             0.00066367,             0.00066367,             0.00066367
                     16,                0.87646,                 1.4715,                  1.145,                0.83827,                0.68898,                0.82428,                0.60369,                0.99944,                 1.6386,                 1.3442,             0.00066505,             0.00066505,             0.00066505
                     17,                0.79327,                  1.181,                 1.0796,                0.83153,                0.99119,                0.97437,                0.74229,                0.92431,                 1.2391,                 1.1958,             0.00066093,             0.00066093,             0.00066093
                     18,                0.85644,                 1.2672,                 1.1208,                 0.8993,                0.91077,                0.97617,                0.77315,                0.82063,                 1.1488,                 1.1032,             0.00065131,             0.00065131,             0.00065131
                     19,                0.83536,                 1.1792,                 1.1025,                0.86997,                   0.95,                0.95846,                0.75888,                0.79971,                 1.1422,                 1.0614,             0.00063619,             0.00063619,             0.00063619
                     20,                0.81602,                  1.184,                 1.0927,                0.80096,                0.85863,                0.91778,                0.72374,                0.82842,                 1.1682,                 1.0796,             0.00061557,             0.00061557,             0.00061557
                     21,                0.72828,                 1.4676,                 1.0894,                0.77919,                0.78402,                0.89268,                0.68657,                0.81315,                 1.3604,                 1.0963,             0.00056678,             0.00056678,             0.00056678
                     22,                0.63743,                 1.4491,                 1.0289,                 0.8121,                0.79295,                0.83003,                0.63864,                0.83659,                    1.6,                 1.1455,             0.00051177,             0.00051177,             0.00051177
                     23,                0.64023,                 1.4545,                 1.0359,                 0.7756,                0.69495,                0.79979,                0.62388,                 0.8583,                 1.6985,                 1.1388,             0.00045676,             0.00045676,             0.00045676
                     24,                 0.6498,                 1.3822,                 1.0039,                0.85523,                    0.8,                0.87557,                0.70251,                 0.7423,                 1.4719,                  1.058,             0.00040175,             0.00040175,             0.00040175
                     25,                0.65086,                 1.3978,                 1.0269,                0.86784,                0.86152,                0.89675,                0.71692,                0.75869,                 1.2026,                 1.0495,             0.00034674,             0.00034674,             0.00034674
                     26,                0.58096,                  1.243,                 1.0091,                0.89043,                0.89202,                0.91989,                0.74083,                 0.7749,                 1.0159,                 1.0568,             0.00029172,             0.00029172,             0.00029172
                     27,                0.58189,                 1.2227,                0.98257,                0.89714,                0.92836,                 0.9417,                0.76905,                 0.7485,                0.91757,                 1.0407,             0.00023671,             0.00023671,             0.00023671
                     28,                0.54807,                 1.1864,                 0.9542,                0.90033,                0.96269,                0.97682,                0.82437,                0.65529,                0.83237,                0.97597,              0.0001817,              0.0001817,              0.0001817
                     29,                 0.5508,                 1.2652,                0.93675,                0.92698,                0.94583,                0.98136,                0.83661,                0.62494,                 0.8179,                0.95286,             0.00012669,             0.00012669,             0.00012669
                     30,                 0.5573,                 1.1774,                 0.9851,                0.93545,                   0.95,                0.98136,                0.83312,                0.62258,                0.80958,                0.95059,             7.1681e-05,             7.1681e-05,             7.1681e-05
